step,population_size_mean,population_size_std,food_count_mean,food_count_std,average_energy_mean,average_energy_std,average_age_mean,average_age_std,birth_count_mean,birth_count_std,death_count_mean,death_count_std,move_count_mean,move_count_std,move_rate_mean,move_rate_std,non_move_count_mean,non_move_count_std,eat_count_mean,eat_count_std,eat_rate_mean,eat_rate_std,eat_per_move_mean,eat_per_move_std,eat_after_move_count_mean,eat_after_move_count_std,eat_without_move_count_mean,eat_without_move_count_std,eat_after_move_rate_mean,eat_after_move_rate_std,eat_without_move_rate_mean,eat_without_move_rate_std,total_eat_rate_mean,total_eat_rate_std,shared_food_cell_count_mean,shared_food_cell_count_std,shared_food_consumer_count_mean,shared_food_consumer_count_std,mean_consumers_per_shared_food_mean,mean_consumers_per_shared_food_std,birth_rate_mean,birth_rate_std,death_rate_mean,death_rate_std,average_exploration_tendency_mean,average_exploration_tendency_std,std_exploration_tendency_mean,std_exploration_tendency_std,min_exploration_tendency_mean,min_exploration_tendency_std,max_exploration_tendency_mean,max_exploration_tendency_std,average_site_fidelity_mean,average_site_fidelity_std,std_site_fidelity_mean,std_site_fidelity_std,min_site_fidelity_mean,min_site_fidelity_std,max_site_fidelity_mean,max_site_fidelity_std,average_risk_tolerance_mean,average_risk_tolerance_std,std_risk_tolerance_mean,std_risk_tolerance_std,min_risk_tolerance_mean,min_risk_tolerance_std,max_risk_tolerance_mean,max_risk_tolerance_std,average_reproduction_timing_mean,average_reproduction_timing_std,std_reproduction_timing_mean,std_reproduction_timing_std,min_reproduction_timing_mean,min_reproduction_timing_std,max_reproduction_timing_mean,max_reproduction_timing_std,consumed_food_cell_count_mean,consumed_food_cell_count_std,shared_food_cell_ratio_mean,shared_food_cell_ratio_std,shared_food_consumer_ratio_mean,shared_food_consumer_ratio_std,mean_consumers_per_shared_food_plot_mean,mean_consumers_per_shared_food_plot_std
0,100.0,0.0,668.8,3.2249030993194387,10.812999999999999,0.1521001132295588,1.0,0.0,0.0,0.0,0.0,0.0,64.7,4.808557187163549,0.647,0.04808557187163549,35.3,4.808557187163549,33.2,3.9665266081716037,0.33199999999999996,0.03966526608171606,0.4565589980748842,0.05640350199709791,29.5,3.8944404818493075,3.7,1.4181364924121764,0.4565589980748842,0.05640350199709791,0.1062702281130824,0.041422907101908546,0.33199999999999996,0.03966526608171606,2.0,1.699673171197595,4.0,3.39934634239519,1.8,0.6324555320336759,0.0,0.0,0.0,0.0,0.506483870967742,0.03358987302584625,0.29462791052432913,0.008968216433982561,0.0032258064516129032,0.010200895677962514,1.0,0.0,0.4896451612903226,0.01321176805439513,0.295918828333129,0.010040224537423129,0.0,0.0,1.0,0.0,0.48680645161290326,0.02664170267502517,0.2961330519179819,0.008876157154914037,0.0,0.0,1.0,0.0,0.5132258064516129,0.026508811310934716,0.2936439991522359,0.01812607576653893,0.0064516129032258064,0.013601194237283351,1.0,0.0,31.2,3.2249030993194197,0.06356486160365471,0.05541831233105763,0.11523302383420438,0.0918293732429505,2.0,0.0
1,100.0,0.0,841.1,7.233410137841072,11.552,0.31720305448998737,2.0,0.0,0.0,0.0,0.0,0.0,54.6,7.260241808033056,0.546,0.0726024180803306,45.4,7.260241808033056,28.2,6.106462878695726,0.28200000000000003,0.06106462878695726,0.48090987298693566,0.08674246481412223,26.3,6.395310782127793,1.9,1.9692073983655907,0.48090987298693566,0.08674246481412223,0.039816216338543875,0.040377192423180254,0.28200000000000003,0.06106462878695726,0.5,0.7071067811865476,1.0,1.4142135623730951,0.8,1.0327955589886444,0.0,0.0,0.0,0.0,0.506483870967742,0.03358987302584625,0.29462791052432913,0.008968216433982561,0.0032258064516129032,0.010200895677962514,1.0,0.0,0.4896451612903226,0.01321176805439513,0.295918828333129,0.010040224537423129,0.0,0.0,1.0,0.0,0.48680645161290326,0.02664170267502517,0.2961330519179819,0.008876157154914037,0.0,0.0,1.0,0.0,0.5132258064516129,0.026508811310934716,0.2936439991522359,0.01812607576653893,0.0064516129032258064,0.013601194237283351,1.0,0.0,27.7,5.945119380167605,0.017392857142857144,0.02501122197114319,0.03314685314685315,0.04720403463225938,2.0,0.0
2,100.3,0.674948557710551,1016.7,7.916929820187722,12.053632886818093,0.29929230501495035,2.9911473500291206,0.019885170191359148,0.3,0.6749485577105528,0.0,0.0,56.7,5.831904586934796,0.567,0.05831904586934795,43.3,5.831904586934796,25.2,4.237399621885521,0.252,0.04237399621885521,0.4192732161106464,0.037986970784727396,23.8,3.4253953543107007,1.4,1.505545305418162,0.4192732161106464,0.037986970784727396,0.03453316124396264,0.038631142669747064,0.252,0.04237399621885521,0.8,1.0327955589886444,1.6,2.065591117977289,1.0,1.0540925533894598,0.003,0.006749485577105529,0.0,0.0,0.5055659596320163,0.03384655247461925,0.2948255691049999,0.009001763686195105,0.0032258064516129032,0.010200895677962514,1.0,0.0,0.49002340917203674,0.013183840987534636,0.29602261762375787,0.009845253307610706,0.0,0.0,1.0,0.0,0.4876669547410149,0.027089632157521776,0.29635548347526786,0.009306523268675662,0.0,0.0,1.0,0.0,0.511833273839718,0.02769993078599232,0.2943380962389611,0.018082834234635504,0.0064516129032258064,0.013601194237283351,1.0,0.0,24.4,3.470510689285432,0.029754765474405653,0.03652450387731805,0.055646551724137926,0.06717619621989628,2.0,0.0
3,101.0,1.3333333333333328,1191.6,7.777460310981298,12.515272142825143,0.2616846728417794,3.963911787106312,0.04606259661547307,0.7,0.8232726023485646,0.0,0.0,57.0,5.8309518948453,0.5683962337410212,0.059159208859112446,43.3,6.019413038937711,26.1,3.573047252229764,0.2601935546495826,0.03546012874751429,0.42665305377041046,0.06661177328747649,24.2,3.7058512292499466,1.9,1.1972189997378648,0.42665305377041046,0.06661177328747649,0.043596522694786255,0.024837891789984762,0.2601935546495826,0.03546012874751429,0.9,0.7378647873726218,1.9,1.6633299933166201,1.45,1.0124228365658292,0.00695088332362648,0.008160537343753774,0.0,0.0,0.5063143905180183,0.03431570453181281,0.29445700269513586,0.009212561292600388,0.0032258064516129032,0.010200895677962514,1.0,0.0,0.49000196642055094,0.012702307534001245,0.29539233454234093,0.009689494964308083,0.0,0.0,1.0,0.0,0.48789230788499954,0.027971882018753478,0.2961397470969778,0.009445947501646457,0.0,0.0,1.0,0.0,0.5093403786298933,0.02917728314064725,0.29491567140155783,0.018090065340795103,0.0064516129032258064,0.013601194237283351,1.0,0.0,25.1,3.634709219609061,0.03719610341349472,0.030923733390622425,0.07341660495896196,0.0635530775899796,2.0714285714285716,0.18898223650461363
4,102.0,1.7638342073763944,1363.3,11.025727489225662,13.026209240817423,0.3592775687855605,4.91576207863191,0.06857752703866667,1.0,0.816496580927726,0.0,0.0,61.8,4.4171383395939845,0.6118192285291878,0.04212801018831786,39.2,4.211096452627669,29.3,5.716448003592596,0.2900531935546496,0.05629641091828883,0.4528242758716618,0.08028947188399609,28.0,5.206833117271103,1.3,1.1595018087284057,0.4528242758716618,0.08028947188399609,0.03427716022192766,0.031202821364325128,0.2900531935546496,0.05629641091828883,1.0,1.0540925533894598,2.0,2.1081851067789197,1.2,1.0327955589886444,0.009873206098890431,0.008059626849104004,0.0,0.0,0.5064802438529401,0.03627459936833453,0.2946125984866069,0.00897038365289505,0.0032258064516129032,0.010200895677962514,1.0,0.0,0.4903197201687347,0.01249739699357442,0.2952367343129415,0.009648898097455831,0.0,0.0,1.0,0.0,0.48809293432627454,0.028330675213702552,0.2961569771977989,0.009663060927506803,0.0,0.0,1.0,0.0,0.5054947081650634,0.02834477591955675,0.2960746722668444,0.01863333153984216,0.0064516129032258064,0.013601194237283351,1.0,0.0,28.3,5.186520991955977,0.03359352142110763,0.034066642131055654,0.06312892954259178,0.06320418173871983,2.0,0.0
5,103.3,1.8885620632287057,1531.8,14.14056418802148,13.611802991815953,0.33517587127400256,5.841626615552934,0.08591222565642374,1.3,1.2516655570345725,0.0,0.0,63.1,5.506561742341788,0.6186958533603846,0.05460998991583865,38.9,5.586690532964137,32.4,5.815687596683837,0.31766969392479005,0.05739920693315106,0.4775420195642628,0.07714964344257093,30.2,5.652924513520021,2.2,1.3165611772087666,0.4775420195642628,0.07714964344257093,0.05516527357758342,0.03370197652045987,0.31766969392479005,0.05739920693315106,0.8,0.6324555320336759,1.7,1.3374935098492586,1.5,1.0801234497346435,0.01279568994391359,0.012414320794830734,0.0,0.0,0.5076640513406435,0.03695660151127124,0.295161601473614,0.010036594127446865,0.0032258064516129032,0.010200895677962514,1.0,0.0,0.4905367688162213,0.014429450217511965,0.29462999224009023,0.00936858420327299,0.0,0.0,1.0,0.0,0.48591618285314686,0.029808925119134126,0.2957236280253074,0.009694910811082612,0.0,0.0,1.0,0.0,0.5022323604534245,0.02840225102748322,0.2966266886960238,0.01869042443117538,0.0064516129032258064,0.013601194237283351,1.0,0.0,31.5,5.602578771323871,0.02454375054375054,0.01829648407356135,0.05076628954076917,0.039668580325278126,2.142857142857143,0.3779644730092273
6,105.4,2.366431913239847,1698.2,14.46682027568216,14.106225952133219,0.380808564840973,6.706224774803344,0.11482414549151673,2.1,1.2866839377079187,0.0,0.0,66.7,3.4009802508492544,0.6458714820196259,0.034906666388112,36.6,3.835506630304673,34.4,1.646545204697128,0.33308627235137933,0.016497938604178787,0.4944081093819321,0.03735364291777313,32.9,1.7919573407620806,1.5,1.1785113019775793,0.4944081093819321,0.03735364291777313,0.04019218719876615,0.03047813867325091,0.33308627235137933,0.016497938604178787,0.7,0.8232726023485646,1.5,1.8408935028645435,1.05,1.1167910378500638,0.020320778448669606,0.012337459411957933,0.0,0.0,0.5081264125791944,0.03925572707550396,0.29514568429007043,0.010193091843737935,0.0032258064516129032,0.010200895677962514,1.0,0.0,0.4898492009399309,0.014486810738763681,0.2948736726191332,0.00924849996318395,0.0,0.0,1.0,0.0,0.4858017341141421,0.029007200595357656,0.29619813640301257,0.011213551957217191,0.0,0.0,1.0,0.0,0.4961743543539957,0.0305234429482313,0.29764913435092455,0.018996469858345657,0.0064516129032258064,0.013601194237283351,1.0,0.0,33.6,2.1186998109427617,0.02172603695803493,0.026418017682742625,0.04409162109820004,0.05552082720950667,2.1,0.22360679774997902
7,108.0,2.867441755680876,1860.4,18.081297888518176,14.664206710224615,0.48195523242774085,7.521957382792941,0.1490361464960551,2.6,1.0749676997731399,0.0,0.0,68.5,4.994441354590567,0.6500004516092119,0.0470089384119653,36.9,5.065131346328105,39.2,5.094659513211413,0.3714266624821475,0.04282932510820988,0.5455292442677139,0.06642633746629908,37.4,5.660781257427675,1.8,1.3165611772087666,0.5455292442677139,0.06642633746629908,0.04811270737041936,0.035574865147192554,0.3714266624821475,0.04282932510820988,1.3,1.1595018087284057,2.7,2.496664441476534,1.4333333333333333,0.9944289260117533,0.024620436938671646,0.010064341237642997,0.0,0.0,0.5076363119372115,0.03702788624557224,0.29601907810296296,0.01123313074557243,0.0,0.0,1.0,0.0,0.4897041811299955,0.015526126769979286,0.2943403815766471,0.009654387578025784,0.0,0.0,1.0,0.0,0.48638374577707594,0.02925179743241872,0.2952820209032991,0.011385297580755675,0.0,0.0,1.0,0.0,0.49133794125120006,0.0308626749478783,0.29757877304458996,0.019690360848186428,0.0064516129032258064,0.013601194237283351,1.0,0.0,37.8,4.4671641514002545,0.03351731894597977,0.029049758958352104,0.06556358375613831,0.058113279937904404,2.047619047619048,0.1259881576697425
8,111.8,3.1902629637347726,2019.7,19.33936687461903,15.059957158396106,0.5254188081793815,8.233065306177862,0.16466985772678921,3.8,1.4757295747452437,0.0,0.0,73.9,6.3674519585501725,0.6844719533918086,0.05943833215954551,34.1,6.573515886579352,42.7,5.334374898294603,0.39578948074575876,0.05210039567705481,0.5536173038826034,0.06426893782462584,40.9,5.762908216439952,1.8,1.8135294011647258,0.5536173038826034,0.06426893782462584,0.04879335278749404,0.046313573186167634,0.39578948074575876,0.05210039567705481,1.9,1.3703203194062976,3.9,2.766867462592951,1.65,0.8834905520465715,0.035215625902837194,0.01380927908240487,0.0,0.0,0.5074291916653892,0.03851497275582756,0.2962494443551037,0.011853897501144078,0.0,0.0,1.0,0.0,0.48912274244649623,0.017182324558145057,0.2941224441112446,0.010376687215447798,0.0,0.0,1.0,0.0,0.4885327821883411,0.02950261633152168,0.2953643157769893,0.011593709341389152,0.0,0.0,1.0,0.0,0.48270880746466005,0.031614412069343935,0.29810385796768923,0.021209913711510042,0.0064516129032258064,0.013601194237283351,1.0,0.0,40.7,4.9452558635075246,0.04737812323178177,0.03463699983616499,0.09026590370136385,0.06323370867202721,2.0625,0.1767766952966369
9,116.5,2.915475947422653,2172.3,23.06536605196441,15.530693404429366,0.5786305053672859,8.859563173727139,0.14056203500966108,4.7,1.3374935098492586,0.0,0.0,76.2,5.996295152471696,0.681515645588177,0.049120865663493704,35.6,5.541760650832108,49.2,5.977736472389306,0.43933194008874626,0.04436981701234231,0.6064684530164872,0.053827818849620436,46.3,6.3779132776934,2.9,1.5951314818673865,0.6064684530164872,0.053827818849620436,0.08124778947278448,0.04022892200749715,0.43933194008874626,0.04436981701234231,1.7,1.2516655570345725,3.5,2.6352313834736494,1.8333333333333333,0.6526300069150406,0.04219468700066018,0.012561481735328435,0.0,0.0,0.5089198824178496,0.03895485139886211,0.294751149659389,0.012029188829156576,0.0,0.0,1.0,0.0,0.48794693531974886,0.02067405749870102,0.2931964124850815,0.010638529641941721,0.0,0.0,1.0,0.0,0.4898310250323209,0.03137581055215305,0.2945386710786716,0.012249175862106455,0.0,0.0,1.0,0.0,0.47708844187085575,0.030985210558690347,0.296456481158437,0.021762794899951008,0.0064516129032258064,0.013601194237283351,1.0,0.0,47.4,6.328067986711619,0.03776100256724226,0.03022833343385205,0.0730115429865825,0.05635589873750807,2.0370370370370368,0.11111111111111117
