founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
0,True,2754,889,0,0.0,0.7096774193548387,0.0967741935483871,0.8064516129032258,0.4838709677419355,,,,,,,,,,
1,True,64,1,0,0.0,0.8709677419354839,0.41935483870967744,0.3548387096774194,0.0967741935483871,,,,,,,,,,
2,True,23,1,0,0.0,0.7096774193548387,0.3548387096774194,0.3548387096774194,1.0,,,,,,,,,,
3,True,1396,577,0,0.0,0.9354838709677419,0.03225806451612903,0.9032258064516129,0.0,,,,,,,,,,
4,True,512,36,0,0.0,0.8064516129032258,1.0,0.3225806451612903,0.3870967741935484,,,,,,,,,,
5,True,751,53,0,0.0,0.0967741935483871,0.967741935483871,0.6129032258064516,0.967741935483871,,,,,,,,,,
6,True,1326,110,0,0.0,0.16129032258064516,0.967741935483871,0.6774193548387096,0.7741935483870968,,,,,,,,,,
7,True,320,27,0,0.0,0.6129032258064516,0.5483870967741935,0.16129032258064516,0.0967741935483871,,,,,,,,,,
8,True,3139,556,0,0.0,0.41935483870967744,0.03225806451612903,0.06451612903225806,0.4838709677419355,,,,,,,,,,
9,True,662,10,0,0.0,0.12903225806451613,0.7096774193548387,0.4838709677419355,0.6451612903225806,,,,,,,,,,
10,True,84,3,0,0.0,0.6451612903225806,0.22580645161290322,0.7741935483870968,0.03225806451612903,,,,,,,,,,
11,True,78,1,0,0.0,0.7741935483870968,0.5806451612903226,0.9032258064516129,0.0,,,,,,,,,,
12,True,261,20,0,0.0,0.7741935483870968,0.6451612903225806,0.2903225806451613,0.25806451612903225,,,,,,,,,,
13,True,189,9,0,0.0,0.3870967741935484,0.5161290322580645,0.4838709677419355,0.22580645161290322,,,,,,,,,,
