founder_id,is_extinct,extinction_step,total_individuals_ever_born,final_alive_count,final_lineage_share,founder_exploration_tendency,founder_site_fidelity,founder_risk_tolerance,founder_reproduction_timing,final_mean_exploration_tendency,final_std_exploration_tendency,final_mean_site_fidelity,final_std_site_fidelity,final_mean_risk_tolerance,final_std_risk_tolerance,final_mean_reproduction_timing,final_std_reproduction_timing,final_mean_generation,final_max_generation
0,True,247,6,0,0.0,0.25806451612903225,0.3870967741935484,0.16129032258064516,0.6774193548387096,,,,,,,,,,
1,True,19,1,0,0.0,0.41935483870967744,0.3548387096774194,0.8064516129032258,0.16129032258064516,,,,,,,,,,
2,True,2012,331,0,0.0,0.9354838709677419,0.0,0.7419354838709677,0.9032258064516129,,,,,,,,,,
3,True,3792,1548,0,0.0,0.03225806451612903,0.8064516129032258,0.8064516129032258,0.25806451612903225,,,,,,,,,,
4,True,176,2,0,0.0,0.06451612903225806,0.5161290322580645,0.6451612903225806,0.5483870967741935,,,,,,,,,,
5,True,55,1,0,0.0,0.16129032258064516,0.5161290322580645,0.5806451612903226,0.9354838709677419,,,,,,,,,,
6,True,241,3,0,0.0,0.12903225806451613,0.41935483870967744,0.6129032258064516,0.7419354838709677,,,,,,,,,,
7,True,23,1,0,0.0,0.7419354838709677,0.4838709677419355,0.7096774193548387,0.7096774193548387,,,,,,,,,,
8,True,252,5,0,0.0,0.2903225806451613,0.1935483870967742,0.12903225806451613,0.967741935483871,,,,,,,,,,
9,True,804,103,0,0.0,0.41935483870967744,0.25806451612903225,0.6129032258064516,0.16129032258064516,,,,,,,,,,
10,True,153,3,0,0.0,0.9354838709677419,0.8387096774193549,0.3225806451612903,0.8387096774193549,,,,,,,,,,
11,True,372,15,0,0.0,0.3225806451612903,0.5806451612903226,0.6774193548387096,0.8064516129032258,,,,,,,,,,
12,True,475,46,0,0.0,0.06451612903225806,0.2903225806451613,0.7096774193548387,0.22580645161290322,,,,,,,,,,
13,True,509,47,0,0.0,0.8387096774193549,0.8709677419354839,0.7096774193548387,0.967741935483871,,,,,,,,,,
14,True,281,14,0,0.0,0.6774193548387096,0.22580645161290322,0.6774193548387096,0.3870967741935484,,,,,,,,,,
15,True,187,2,0,0.0,0.1935483870967742,0.16129032258064516,0.3870967741935484,0.1935483870967742,,,,,,,,,,
16,True,432,90,0,0.0,0.7741935483870968,0.3225806451612903,1.0,0.5161290322580645,,,,,,,,,,
17,True,265,8,0,0.0,0.06451612903225806,0.7419354838709677,0.0967741935483871,1.0,,,,,,,,,,
18,True,322,15,0,0.0,0.6774193548387096,0.06451612903225806,0.9354838709677419,0.967741935483871,,,,,,,,,,
